[Thu Dec 30 13:25:55.572990 2021] [php7:error] [pid 23341] [client 10.10.8.79:52882] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/
[Mon Jan 03 22:20:09.831749 2022] [php7:error] [pid 1352] [client 10.10.8.79:55338] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/
[Mon Jan 03 22:20:14.366520 2022] [php7:error] [pid 1352] [client 10.10.8.79:55338] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Mon Jan 03 22:20:23.514081 2022] [php7:error] [pid 1355] [client 10.10.8.79:55348] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/site/login
[Tue Jan 04 23:24:33.725408 2022] [php7:error] [pid 4855] [client 10.10.8.79:57194] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/
[Tue Jan 04 23:24:37.414643 2022] [php7:error] [pid 4855] [client 10.10.8.79:57194] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Tue Jan 04 23:54:02.553314 2022] [php7:error] [pid 15201] [client 10.10.8.79:57558] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Tue Jan 04 23:54:04.219282 2022] [php7:error] [pid 15393] [client 10.10.8.79:57562] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 13:00:29.897400 2022] [php7:error] [pid 29360] [client 10.10.8.79:58930] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/
[Wed Jan 05 13:00:33.263241 2022] [php7:error] [pid 29360] [client 10.10.8.79:58930] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
[Wed Jan 05 13:12:45.891395 2022] [php7:error] [pid 1251] [client 10.10.8.79:59028] script '/home/jvkmsijx-m2/index.php' not found or unable to stat, referer: http://jvkmsijx-m2.wsr.ru/web/
